10152725,1,0,4,9:20,CT,11888,1,0,8,e,NA,23,23,0,4,5,1,1,3,3,1,0,1,720
10152725,2,0,4,9:21,CT,11888,1,0,8,e,NA,23,23,0,4,5,1,0,1,2,1,0,1,706
10152725,3,0,4,9:23,CT,11888,1,0,8,e,NA,23,23,0,4,5,1,0,1,2,1,0,1,691
10152725,4,0,4,9:24,CT,11888,1,0,8,e,NA,23,23,0,4,5,1,0,1,2,1,0,2,698
10152725,5,0,4,9:27,CT,11888,1,0,8,e,NA,23,23,0,4,5,1,0,3,3,1,0,2,716
10152725,6,1,4,10:14,CT,11888,1,0,8,e,NA,23,23,0,4,5,1,0,3,3,1,0,2,716
10152726,1,0,2,15:13,FL,10711,1,1,0,f,2,39,39,0,3,2,0,0,2,1,0,0,4,656
10152726,2,0,2,15:14,FL,10711,1,1,0,f,2,39,39,0,3,2,1,0,3,3,0,2,3,687
10152726,3,1,1,10:30,FL,10711,1,1,0,g,2,39,39,0,3,7,1,0,3,3,1,2,3,651
10152727,1,0,3,13:42,KY,10204,1,1,1,e,NA,20,20,0,1,4,0,0,3,3,0,0,2,642
10152727,2,0,3,13:43,KY,10204,1,1,1,e,NA,20,20,0,1,4,1,0,2,3,0,2,2,677
10152727,3,0,3,13:43,KY,10204,1,1,1,e,NA,20,20,0,1,4,1,0,2,3,0,2,2,677
10152727,4,0,3,13:44,KY,10204,1,1,1,e,NA,20,20,0,1,4,1,0,2,3,0,2,2,677
10152727,5,0,3,13:46,KY,10204,1,1,1,e,NA,20,20,0,1,4,1,0,2,3,0,2,2,685
10152727,6,1,1,15:14,KY,10204,1,1,1,d,NA,20,20,0,4,4,1,0,3,3,0,2,2,681